"","ACL","ZIP","IP","VMP","NVM","TDM","TDC","TDCH","TEM","TEC","TECH","TNM","TNC","TNCH","TIM","TIC","TICH","CSC","Churn"
"884",42,408,"No","No",0,146.3,84,24.87,255.9,113,21.75,45,117,2.03,8,12,2.16,1,"NO"
"886",66,408,"No","Yes",26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,"NO"
"887",103,510,"No","Yes",31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,"NO"
"888",128,408,"No","No",0,158.8,75,27,264.8,91,22.51,270,77,12.15,7.6,7,2.05,1,"NO"
"889",104,415,"No","No",0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,"NO"
"890",103,415,"No","No",0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,"NO"
"891",124,415,"No","No",0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12,2,3.24,0,"NO"
"893",109,415,"No","Yes",27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,"YES"
"894",167,415,"Yes","No",0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,"NO"
"895",97,510,"No","No",0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,"YES"
"896",106,415,"No","No",0,165.3,118,28.1,210,101,17.85,187.2,93,8.42,8.5,3,2.3,2,"NO"
"897",125,415,"No","No",0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,"NO"
"902",23,510,"No","No",0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,"YES"
"903",149,510,"No","No",0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,"NO"
"904",73,415,"No","No",0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,"NO"
"905",61,415,"No","No",0,260,123,44.2,210.5,127,17.89,234.7,70,10.56,9,3,2.43,1,"YES"
"906",161,415,"No","No",0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,"YES"
"907",73,408,"No","No",0,213,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,"NO"
"908",118,415,"No","Yes",24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,"NO"
"910",127,415,"No","Yes",25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,"NO"
"911",42,415,"No","Yes",32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,"NO"
"912",118,415,"No","No",0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5,"YES"
"913",45,510,"No","No",0,159.8,91,27.17,120.4,86,10.23,163,93,7.34,10.6,3,2.86,2,"NO"
"914",50,408,"No","Yes",24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,"NO"
"916",152,408,"No","No",0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2,"NO"
"917",105,415,"No","No",0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,"NO"
"918",72,415,"No","No",0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,"NO"
"919",52,408,"No","No",0,215.9,67,36.7,217,108,18.45,342.8,130,15.43,5.2,2,1.4,1,"NO"
"920",125,415,"No","No",0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11,4,2.97,1,"NO"
"921",143,510,"No","No",0,110.1,113,18.72,169,59,14.37,166.7,94,7.5,9.2,2,2.48,1,"NO"
"922",65,415,"No","No",0,111,51,18.87,219.8,84,18.68,202,89,9.09,4.4,14,1.19,1,"NO"
"923",80,415,"No","No",0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,"NO"
"925",60,408,"No","No",0,135.4,134,23.02,205.9,85,17.5,204,103,9.18,7.9,4,2.13,1,"NO"
"926",43,415,"No","No",0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,"NO"
"927",143,415,"No","No",0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14,6,3.78,0,"NO"
"928",81,415,"No","Yes",24,130.1,117,22.12,196,61,16.66,139.3,123,6.27,11.4,5,3.08,0,"NO"
"931",74,415,"No","No",0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0,"NO"
"932",77,510,"No","No",0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12,2,3.24,1,"NO"
"933",74,415,"No","No",0,200.4,87,34.07,309.2,105,26.28,152.1,118,6.84,10,2,2.7,1,"NO"
"934",74,510,"Yes","No",0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,"YES"
"935",200,408,"No","No",0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,"NO"
"936",86,408,"No","No",0,226.3,88,38.47,223,107,18.96,255.6,92,11.5,13,3,3.51,4,"NO"
"937",91,510,"No","Yes",37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,"NO"
"938",76,415,"No","No",0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,"NO"
"939",130,415,"No","No",0,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1,"NO"
"941",117,415,"No","No",0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,"NO"
"943",126,415,"No","No",0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,"NO"
"945",81,415,"No","Yes",28,167.9,147,28.54,190.7,105,16.21,193,103,8.69,9.2,6,2.48,4,"YES"
"946",122,415,"No","No",0,180,88,30.6,145,77,12.33,233.7,120,10.52,11.5,6,3.11,2,"NO"
"949",99,408,"No","No",0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,"NO"
"950",87,408,"No","No",0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11,3,2.97,1,"NO"
"951",108,415,"No","No",0,103,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,"NO"
"953",53,415,"No","No",0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3,"NO"
"954",132,415,"No","Yes",39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,"NO"
"955",158,510,"No","No",0,155.9,123,26.5,224.2,112,19.06,221,116,9.95,8.6,8,2.32,2,"NO"
"957",77,415,"No","Yes",23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,"NO"
"960",58,408,"No","No",0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,"NO"
"962",97,408,"No","No",0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,"NO"
"963",107,415,"No","No",0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,"NO"
"964",142,415,"No","Yes",30,154,75,26.18,165.8,97,14.09,270,83,12.15,10.8,5,2.92,1,"NO"
"965",9,408,"No","Yes",31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,"NO"
"966",73,415,"No","No",0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,"NO"
"968",43,408,"No","No",0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,"NO"
"970",93,415,"No","No",0,190.2,68,32.33,262.2,64,22.29,130,92,5.85,8.8,4,2.38,0,"NO"
"971",85,415,"No","No",0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,"NO"
"972",59,415,"No","No",0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5,5,1.35,3,"NO"
"973",87,415,"No","No",0,228.7,90,38.88,163,99,13.86,154.1,90,6.93,11.8,3,3.19,1,"NO"
"974",137,408,"No","No",0,144,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,"NO"
"975",21,510,"No","Yes",31,135.9,90,23.1,271,84,23.04,179.1,89,8.06,9.5,7,2.57,6,"NO"
"976",129,510,"No","No",0,334.3,118,56.83,192.1,104,16.33,191,83,8.59,10.4,6,2.81,0,"YES"
"977",104,415,"No","No",0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13,6,3.51,0,"NO"
"978",93,408,"No","Yes",21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,"YES"
"979",63,415,"No","No",0,278,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,"YES"
"980",161,415,"No","No",0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,"NO"
"981",50,510,"No","No",0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,"NO"
"982",103,408,"No","Yes",24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,"NO"
"985",77,415,"No","No",0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,"NO"
"986",64,415,"Yes","No",0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,"YES"
"987",159,415,"No","Yes",15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,"NO"
"988",110,415,"Yes","Yes",27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,"YES"
"989",138,510,"No","No",0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17,4,4.59,3,"NO"
"992",50,415,"No","Yes",35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,"NO"
"993",45,510,"No","Yes",26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,"NO"
"995",147,510,"No","Yes",33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,"NO"
"996",94,510,"No","No",0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,"NO"
"998",116,415,"No","No",0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,"NO"
"1002",140,415,"No","No",0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,"NO"
"1004",52,510,"No","Yes",38,169.3,88,28.78,225.9,97,19.2,172,86,7.74,8.2,3,2.21,0,"NO"
"1005",64,415,"No","Yes",27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,"NO"
"1007",48,415,"No","No",0,190.4,92,32.37,317.5,85,26.99,133.4,113,6,8.3,4,2.24,2,"NO"
"1008",181,408,"No","No",0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6,7,1.62,1,"NO"
"1009",168,415,"No","Yes",42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,"NO"
"1010",155,415,"No","No",0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,"NO"
"1011",105,510,"No","No",0,246.4,83,41.89,256.2,101,21.78,169,151,7.61,3.8,4,1.03,0,"NO"
"1012",11,415,"No","No",0,143.4,130,24.38,289.4,50,24.6,194,100,8.73,9.7,6,2.62,2,"NO"
"1013",182,415,"No","No",0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8,5,2.16,2,"NO"
"1014",104,415,"No","No",0,156.2,93,26.55,193,54,16.41,222.7,94,10.02,13.1,5,3.54,1,"NO"
"1016",122,415,"No","No",0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,"NO"
"1017",41,415,"No","No",0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,"NO"
"1019",76,415,"No","No",0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1,"YES"
"1020",13,415,"No","No",0,146.4,74,24.89,148.5,92,12.62,216.7,96,9.75,11.3,3,3.05,1,"NO"
"1021",115,415,"No","Yes",33,145,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,"NO"
"1022",67,408,"No","No",0,167.8,91,28.53,167.7,69,14.25,110.3,71,4.96,8.4,12,2.27,1,"NO"
"1023",154,510,"No","No",0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,"NO"
"1024",100,510,"No","No",0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2,"NO"
"1026",148,415,"No","Yes",11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,"NO"
"1027",67,415,"No","Yes",28,95,94,16.15,291.2,73,24.75,159.6,114,7.18,10,2,2.7,2,"NO"
"1030",116,510,"No","No",0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,"NO"
"1031",99,415,"No","Yes",42,216,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,2,"YES"
"1032",87,415,"No","No",0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,"NO"
"1033",87,510,"No","No",0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1,"NO"
"1034",70,408,"No","No",0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,"NO"
"1035",131,408,"No","No",0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,"NO"
"1036",119,510,"No","No",0,190.4,74,32.37,215.6,113,18.33,161.2,111,7.25,10,1,2.7,2,"NO"
"1037",119,408,"No","Yes",32,142.6,77,24.24,208.2,126,17.7,171,102,7.69,12,2,3.24,3,"NO"
"1038",87,510,"Yes","No",0,134.2,80,22.81,165,71,14.03,173.1,102,7.79,10.7,5,2.89,0,"NO"
"1039",112,415,"No","No",0,111.9,92,19.02,114,143,9.69,146.8,79,6.61,14.1,3,3.81,5,"YES"
"1040",75,415,"No","No",0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,"NO"
"1041",150,510,"No","No",0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,"NO"
"1042",161,510,"No","Yes",38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,"NO"
"1043",91,510,"Yes","Yes",24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0,"NO"
"1044",124,415,"No","No",0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3,"NO"
"1045",94,510,"Yes","No",0,243.2,109,41.34,147,88,12.5,94.9,99,4.27,7.2,4,1.94,4,"NO"
"1046",217,408,"No","No",0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,"NO"
"1048",102,415,"No","No",0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,"NO"
"1050",79,510,"No","No",0,147,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,"NO"
"1051",139,510,"No","Yes",25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,"NO"
"1052",103,415,"No","No",0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,"NO"
"1053",98,415,"Yes","No",0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,"NO"
"1054",78,408,"No","No",0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,"NO"
"1055",50,408,"No","No",0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,"NO"
"1057",67,408,"No","No",0,201.4,101,34.24,97.6,122,8.3,202.5,119,9.11,7,3,1.89,0,"NO"
"1059",92,510,"No","No",0,208,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0,"NO"
"1061",124,510,"No","No",0,193,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1,"NO"
"1062",132,415,"No","Yes",31,174.5,101,29.67,245.6,105,20.88,172.8,76,7.78,10.3,9,2.78,1,"NO"
"1064",101,510,"No","No",0,93.8,127,15.95,150,104,12.75,241.1,116,10.85,10.7,2,2.89,1,"NO"
"1065",185,415,"Yes","Yes",30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,"NO"
"1067",117,510,"No","Yes",25,216,140,36.72,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,0,"NO"
"1069",124,415,"No","No",0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,"NO"
"1072",134,408,"No","No",0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5,9,1.35,1,"NO"
"1073",164,408,"No","Yes",25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,"NO"
"1075",177,415,"No","No",0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,"NO"
"1076",110,408,"No","No",0,162,81,27.54,247.5,89,21.04,155.5,99,7,8.9,8,2.4,0,"NO"
"1077",53,415,"No","Yes",27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,"NO"
"1078",108,415,"No","No",0,154.2,123,26.21,112.3,86,9.55,246.4,75,11.09,15.4,4,4.16,4,"YES"
"1080",158,408,"No","No",0,209.9,112,35.68,221.3,82,18.81,210,93,9.45,8.2,3,2.21,1,"NO"
"1081",114,415,"No","No",0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0,0,0,0,"NO"
"1082",64,408,"No","Yes",19,291.1,150,49.49,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1,"NO"
"1083",88,415,"No","No",0,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3,"NO"
"1084",82,510,"Yes","No",0,208.8,101,35.5,213.7,87,18.16,175.1,86,7.88,12.4,6,3.35,3,"NO"
"1085",111,415,"No","No",0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,"NO"
"1086",60,408,"No","No",0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,12.4,4,3.35,2,"NO"
"1087",113,408,"No","No",0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3,"NO"
"1089",105,510,"No","Yes",42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,"NO"
"1090",85,510,"No","No",0,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2,"NO"
"1094",210,408,"No","No",0,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2,"NO"
"1096",106,510,"No","No",0,274.4,120,46.65,198.6,82,16.88,160.8,62,7.24,6,3,1.62,1,"NO"
"1098",57,415,"No","Yes",29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13,2,3.51,1,"NO"
"1099",98,510,"No","No",0,187.2,127,31.82,195.6,88,16.63,181.8,129,8.18,5.1,4,1.38,1,"NO"
"1100",157,415,"No","No",0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3,"NO"
"1101",116,415,"No","Yes",35,200.4,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1,"NO"
"1102",30,510,"No","No",0,162.3,96,27.59,244,122,20.74,180.1,89,8.1,9.1,4,2.46,2,"NO"
"1103",111,510,"No","No",0,176.9,128,30.07,102.8,56,8.74,213.7,84,9.62,10.5,2,2.84,4,"YES"
"1105",72,415,"No","No",0,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,10.4,5,2.81,4,"NO"
"1107",86,510,"No","No",0,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3,"NO"
"1108",98,415,"No","Yes",29,179.9,97,30.58,189.2,89,16.08,164.3,76,7.39,12.8,7,3.46,3,"NO"
"1110",118,415,"No","No",0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,"NO"
"1111",117,415,"No","No",0,144.6,115,24.58,258.8,66,22,253.2,113,11.39,7.4,9,2,2,"NO"
"1112",55,510,"No","No",0,189,100,32.13,118.5,99,10.07,248.1,87,11.16,17.1,6,4.62,0,"NO"
"1113",82,408,"No","No",0,101,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0,"NO"
"1114",152,415,"No","No",0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1,"NO"
"1116",98,408,"No","No",0,165,129,28.05,202.6,113,17.22,172.3,94,7.75,12.5,7,3.38,1,"YES"
"1117",130,415,"No","No",0,155.9,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3,"NO"
"1119",47,415,"No","No",0,155.3,116,26.4,188.2,85,16,247,73,11.12,12.3,4,3.32,3,"NO"
"1121",107,415,"No","No",0,157.1,79,26.71,162.6,124,13.82,150,138,6.75,12.1,6,3.27,1,"NO"
"1122",91,415,"No","No",0,154.4,165,26.25,168.3,121,14.31,239.9,81,10.8,11.7,4,3.16,5,"YES"
"1123",159,415,"No","No",0,189.1,105,32.15,246.1,147,20.92,242,106,10.89,10.4,5,2.81,1,"YES"
"1124",11,408,"No","Yes",24,131.5,98,22.36,230.2,111,19.57,283.7,87,12.77,10,3,2.7,2,"NO"
"1125",167,415,"No","No",0,166.4,85,28.29,243.2,135,20.67,229.2,95,10.31,9.9,5,2.67,1,"NO"
"1126",111,408,"No","No",0,142.3,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2,"NO"
"1127",99,408,"No","Yes",19,87.7,103,14.91,223,86,18.96,182.3,112,8.2,7.3,4,1.97,2,"NO"
"1128",159,415,"No","Yes",19,184.1,78,31.3,194.5,71,16.53,225.6,101,10.15,16.9,3,4.56,0,"NO"
"1129",114,415,"Yes","Yes",31,174.5,104,29.67,224.2,92,19.06,116.3,91,5.23,12.3,10,3.32,2,"NO"
"1131",122,415,"No","No",0,35.1,62,5.97,180.8,89,15.37,251.6,58,11.32,12.7,2,3.43,1,"NO"
"1132",100,408,"No","Yes",25,246.6,94,41.92,141.4,112,12.02,189.8,109,8.54,13,5,3.51,1,"NO"
"1134",64,408,"No","No",0,148.1,73,25.18,164.9,101,14.02,216,125,9.72,12.3,2,3.32,5,"YES"
"1135",105,408,"No","No",0,206.2,84,35.05,256.4,138,21.79,117.1,91,5.27,9,3,2.43,1,"NO"
"1136",144,415,"No","Yes",33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,"NO"
"1137",106,415,"Yes","Yes",26,270.3,111,45.95,215.2,90,18.29,254,133,11.43,14.4,7,3.89,1,"YES"
"1138",19,510,"No","Yes",34,156.6,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,1,3.05,1,"NO"
"1142",157,415,"No","No",0,196,74,33.32,213.4,96,18.14,196.8,81,8.86,7.9,6,2.13,1,"NO"
"1143",105,415,"No","No",0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6,"YES"
"1145",155,408,"No","No",0,216.7,30,36.84,144.3,125,12.27,135.3,106,6.09,10.8,1,2.92,2,"NO"
"1146",31,415,"No","No",0,177.3,129,30.14,152.8,105,12.99,162.9,92,7.33,5.1,2,1.38,0,"NO"
"1147",161,415,"No","No",0,151.6,117,25.77,219.4,87,18.65,224.7,68,10.11,4,5,1.08,1,"NO"
"1148",95,408,"No","Yes",32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,"NO"
"1149",122,415,"No","No",0,173.6,110,29.51,91.7,84,7.79,211.7,103,9.53,9.7,7,2.62,3,"NO"
"1150",37,415,"Yes","No",0,106.6,76,18.12,147.4,89,12.53,235.8,113,10.61,9.6,8,2.59,2,"NO"
"1151",132,415,"No","No",0,193.3,106,32.86,128.3,94,10.91,162.1,119,7.29,11.6,4,3.13,5,"YES"
"1152",119,408,"No","Yes",24,217.2,94,36.92,138.7,52,11.79,139.3,85,6.27,11.3,4,3.05,0,"NO"
"1154",99,408,"No","No",0,95.4,105,16.22,207.2,101,17.61,136,117,6.12,5.6,5,1.51,1,"NO"
"1156",167,415,"No","No",0,131.6,120,22.37,211.3,96,17.96,168.3,97,7.57,11.1,4,3,4,"YES"
"1157",129,415,"No","No",0,168.4,117,28.63,217.1,129,18.45,81.6,100,3.67,11.8,7,3.19,1,"NO"
"1158",116,408,"No","No",0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1,"NO"
"1159",60,415,"Yes","No",0,183,110,31.11,206.7,93,17.57,203.8,119,9.17,11.1,6,3,1,"NO"
"1160",128,415,"No","No",0,103.3,122,17.56,245.9,123,20.9,161.1,95,7.25,6.4,7,1.73,0,"NO"
"1161",47,408,"No","Yes",28,112.2,70,19.07,154.8,106,13.16,166.7,105,7.5,10.6,2,2.86,0,"NO"
"1162",40,510,"Yes","No",0,170.7,55,29.02,179.1,108,15.22,281.9,89,12.69,8.2,9,2.21,3,"NO"
"1163",173,510,"No","No",0,172.5,78,29.33,142.6,91,12.12,102,63,4.59,10.9,2,2.94,0,"NO"
"1165",66,408,"No","Yes",32,187.8,117,31.93,129.8,90,11.03,132.3,113,5.95,12,3,3.24,2,"NO"
"1168",130,510,"No","No",0,154,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,"NO"
"1169",143,408,"No","No",0,155.5,101,26.44,213.4,89,18.14,237.9,61,10.71,7.6,11,2.05,1,"NO"
"1170",89,510,"Yes","No",0,125.6,108,21.35,213,90,18.11,181.7,108,8.18,5.4,5,1.46,1,"NO"
"1171",108,415,"No","No",0,199.3,104,33.88,224.2,92,19.06,140.1,57,6.3,15.2,2,4.1,0,"NO"
"1172",32,408,"No","No",0,157.9,88,26.84,180.8,132,15.37,132.5,102,5.96,12.8,3,3.46,1,"NO"
"1173",166,415,"No","No",0,203.4,81,34.58,167.7,110,14.25,132,124,5.94,9.2,5,2.48,2,"NO"
"1175",72,408,"No","Yes",39,92.8,98,15.78,271.2,115,23.05,167.1,83,7.52,5.8,7,1.57,1,"NO"
"1176",134,415,"No","Yes",32,216.8,78,36.86,102.2,111,8.69,174,83,7.83,8.6,2,2.32,0,"NO"
"1177",13,415,"No","No",0,193.2,89,32.84,194.4,90,16.52,186.5,104,8.39,9.7,2,2.62,4,"NO"
"1178",90,415,"No","No",0,113.2,108,19.24,189.3,63,16.09,271.8,124,12.23,14.1,4,3.81,3,"NO"
"1179",111,415,"No","Yes",36,166.2,54,28.25,238.8,109,20.3,108.8,92,4.9,11.2,2,3.02,3,"NO"
"1180",101,408,"No","Yes",23,262.2,101,44.57,157,80,13.35,129.1,100,5.81,7.3,14,1.97,1,"NO"
"1181",72,415,"No","No",0,207.8,92,35.33,195.7,110,16.63,184.8,124,8.32,13.1,4,3.54,0,"NO"
"1182",67,510,"No","Yes",35,245.4,89,41.72,148.2,102,12.6,274,136,12.33,7.5,6,2.03,1,"NO"
"1184",154,510,"No","Yes",32,192.3,82,32.69,165.3,134,14.05,205,74,9.23,9,1,2.43,2,"NO"
"1185",69,510,"No","No",0,194.2,122,33.01,242.1,81,20.58,215.8,80,9.71,9.7,3,2.62,2,"NO"
